mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12.506335020065308,0.3138037337281632,0.002302408218383789,0.0004091326450751139,0.01,3,5,50,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.9}",0.3804780876494024,0.41733067729083667,0.3555776892430279,0.4820717131474104,0.40039840637450197,0.40717131474103585,0.04274011039103105,4,0.5577689243027888,0.5463147410358565,0.5194223107569721,0.5575199203187251,0.5642430278884463,0.5490537848605579,0.01589886050935054
13.679725646972656,0.20047605235643481,0.002501821517944336,0.0004446207885328563,0.01,3,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 1.0}",0.3794820717131474,0.41932270916334663,0.35856573705179284,0.46912350597609564,0.4063745019920319,0.4065737051792828,0.0377194272804081,7,0.561503984063745,0.5448207171314741,0.5097111553784861,0.5525398406374502,0.5607569721115537,0.5458665338645418,0.019074030246988102
22.599479627609252,0.5557793184449075,0.004099750518798828,0.0002075315942659165,0.01,3,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.33266932270916333,0.4103585657370518,0.3804780876494024,0.43824701195219123,0.40537848605577687,0.3934262948207171,0.035489488829789084,12,0.5871513944223108,0.5806772908366534,0.5961155378486056,0.5951195219123506,0.5918824701195219,0.5901892430278884,0.005692124327581485
24.952806091308595,0.1261605947302163,0.004401397705078125,0.0004930392315874759,0.01,3,5,100,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.9}",0.32270916334661354,0.40836653386454186,0.3615537848605578,0.450199203187251,0.40537848605577687,0.3896414342629482,0.0436677740909203,24,0.585906374501992,0.5826693227091634,0.5861553784860558,0.5991035856573705,0.5918824701195219,0.5891434262948207,0.005797035222521319
28.344397687911986,0.27636900886722554,0.004104042053222656,0.0002080767658488861,0.01,3,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",0.32171314741035856,0.4073705179282869,0.3705179282868526,0.4541832669322709,0.40139442231075695,0.39103585657370515,0.043791186025548906,17,0.5851593625498008,0.5734561752988048,0.5799302788844621,0.600597609561753,0.586902390438247,0.5852091633466135,0.009007476053103047
45.01351399421692,1.0752146628299841,0.006798171997070312,0.00040158574917283877,0.01,3,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}",0.3247011952191235,0.4033864541832669,0.3784860557768924,0.4163346613545817,0.399402390438247,0.3844621513944223,0.03226230764129187,27,0.6476593625498008,0.6479083665338645,0.6663346613545816,0.6548804780876494,0.6541334661354582,0.6541832669322709,0.006783519342091457
50.714930057525635,0.6678406697802879,0.007201480865478516,0.00040375563464950325,0.01,3,5,200,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.9}",0.3237051792828685,0.4043824701195219,0.3834661354581673,0.4073705179282869,0.40039840637450197,0.38386454183266927,0.031196770987130893,28,0.6451693227091634,0.6469123505976095,0.6665836653386454,0.6526394422310757,0.6499003984063745,0.6522410358565738,0.007612520544482886
54.964413499832155,1.3828663797998848,0.006398487091064453,0.0004915019079709109,0.01,3,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}",0.32669322709163345,0.3954183266932271,0.38147410358565736,0.4302788844621514,0.4213147410358566,0.3910358565737052,0.03662631080342598,15,0.6414342629482072,0.6414342629482072,0.6536354581673307,0.6556274900398407,0.6456673306772909,0.6475597609561754,0.0060104424665866915
11.20494966506958,0.3937349635804312,0.002600240707397461,0.0004919881480820833,0.01,3,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.3854581673306773,0.4033864541832669,0.36354581673306774,0.47808764940239046,0.4123505976095618,0.4085657370517929,0.03856215616709915,2,0.5592629482071713,0.5428286852589641,0.5266434262948207,0.5625,0.5620019920318725,0.5506474103585657,0.01400686697102851
12.492088842391968,0.2330024009503069,0.002404451370239258,0.0004981830690616286,0.01,3,10,50,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.9}",0.3804780876494024,0.41932270916334663,0.350597609561753,0.4820717131474104,0.40039840637450197,0.40657370517928293,0.04407930389631419,6,0.5577689243027888,0.5463147410358565,0.5191733067729084,0.5575199203187251,0.5639940239043825,0.5489541832669322,0.015944501103597172
